X,Y,MSAGComm
-71.45832213,41.76367998,CRANSTON
-71.47908354,41.73516479,CRANSTON
-71.48043202,41.75069056,CRANSTON
-71.48114554,41.74857487,CRANSTON
-71.48090366,41.75178453,CRANSTON
-71.47966413,41.75045495,CRANSTON
-71.47995369,41.74912821,CRANSTON
-71.4804668,41.74659221,CRANSTON
-71.48190358,41.74751268,CRANSTON
-71.48305961,41.74834852,CRANSTON
-71.48197257,41.7452151,CRANSTON
-71.48367629,41.74595991,CRANSTON
-71.48173401,41.74417813,CRANSTON
-71.48129704,41.74322153,CRANSTON
-71.48194581,41.7410479,CRANSTON
-71.4825543,41.7415922,CRANSTON
-71.48261246,41.74431438,CRANSTON
-71.48331121,41.74258338,CRANSTON
-71.47802943,41.74303674,CRANSTON
-71.47668869,41.74153299,CRANSTON
-71.47943518,41.74182506,CRANSTON
-71.47954587,41.74033793,CRANSTON
-71.4794024,41.74254017,CRANSTON
-71.54748208,41.73186382,CRANSTON
-71.54772405,41.73289787,CRANSTON
-71.54884899,41.73727961,CRANSTON
-71.54763652,41.73978166,CRANSTON
-71.54906921,41.73840631,CRANSTON
-71.53412616,41.73075445,CRANSTON
-71.53385183,41.73521387,CRANSTON
-71.53391857,41.73276925,CRANSTON
-71.55148064,41.74939923,CRANSTON
-71.55086785,41.7464692,CRANSTON
-71.55040942,41.74432405,CRANSTON
-71.54809253,41.73403838,CRANSTON
-71.49067113,41.73189867,CRANSTON
-71.49043466,41.73337303,CRANSTON
-71.49199286,41.73237195,CRANSTON
-71.49078967,41.73411564,CRANSTON
-71.48431175,41.73357901,CRANSTON
-71.48541944,41.73240289,CRANSTON
-71.48632404,41.73261938,CRANSTON
-71.48320283,41.73465736,CRANSTON
-71.48701447,41.73567979,CRANSTON
-71.48425937,41.73800876,CRANSTON
-71.48489144,41.74055962,CRANSTON
-71.48604497,41.73461883,CRANSTON
-71.4844274,41.73556404,CRANSTON
-71.48485323,41.73634327,CRANSTON
-71.4832509,41.73833594,CRANSTON
-71.48635775,41.73514496,CRANSTON
-71.36576734,41.85825396,EAST PROVIDENCE
-71.37113174,41.85768086,EAST PROVIDENCE
-71.3494759,41.85981511,EAST PROVIDENCE
-71.35336212,41.79688604,EAST PROVIDENCE
-71.3415363,41.80202222,EAST PROVIDENCE
-71.34795723,41.80928566,EAST PROVIDENCE
-71.3537118,41.81347579,EAST PROVIDENCE
-71.34292594,41.83337489,EAST PROVIDENCE
-71.37267161,41.85766821,PAWTUCKET
