Species,Long,Lat
Manatee,-87.86236,17.32778
Manatee,-87.91066,17.16992
Manatee,-67.16267,18.45713
Manatee,-87.4604,20.004
Manatee,-87.4771,20.0035
Manatee,-87.70641,18.704
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4735,20.0273
Manatee,-87.4612,19.9982
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4735,20.0273
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4604,20.004
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-87.4735,20.0273
Manatee,-87.4771,20.0035
Manatee,-87.4771,20.0035
Manatee,-53.915033,5.646483
Manatee,-53.950733,5.673417
Manatee,-79.62933,32.56245
Manatee,-82.4468,29.3875
Manatee,-81.340457,28.943835
Manatee,-81.339347,28.945065
Manatee,-81.339522,28.947453
Manatee,-82.671342,28.881445
Manatee,-82.978585,29.489238
Manatee,-80.313752,27.461594
Manatee,-81.917427,26.600271
Manatee,-82.106152,26.673005
Manatee,-82.094962,26.687081
Manatee,-81.73188,29.350212
Manatee,-82.595165,27.858602
Manatee,-81.88358,26.482528
Manatee,-81.628283,29.682283
Manatee,-81.643592,29.245674
Manatee,-81.529738,25.880716
Manatee,-81.339587,28.947398
Manatee,-81.643539,29.245699
Manatee,-81.340025,28.944194
Manatee,-80.172147,27.180002
Manatee,-82.093868,26.648665
Manatee,-80.069165,26.339002
Manatee,-80.16272,25.752725
Manatee,-82.732587,28.961005
Manatee,-80.255437,27.341699
Manatee,-80.267901,27.352665
Manatee,-80.141661,25.900457
Manatee,-82.981127,29.487005
Manatee,-81.339891,28.94425
Manatee,-81.340962,28.943632
Manatee,-81.339837,28.944325
Manatee,-81.564967,25.880638
Manatee,-81.936437,26.542485
Manatee,-80.034039,26.770526
Manatee,-82.980867,29.489315
Manatee,-81.569197,25.856605
Manatee,-80.035462,26.768446
Manatee,-80.250531,25.799957
Manatee,-80.16948,25.83192
Manatee,-80.057155,26.901769
Manatee,-82.939997,29.589995
Manatee,-81.145257,25.380985
Manatee,-81.339237,28.945585
Manatee,-82.046257,26.513995
Manatee,-81.089887,25.277476
Manatee,-80.030798,26.781115
Manatee,-80.430527,25.263926
Manatee,-80.424367,25.253586
Manatee,-80.330617,25.540725
Manatee,-80.330817,25.539295
Manatee,-80.330287,25.539525
Manatee,-80.319767,25.525905
Manatee,-80.280217,25.667205
Manatee,-80.279217,25.665675
Manatee,-80.268207,25.657625
Manatee,-80.263017,25.707445
Manatee,-80.266537,25.710415
Manatee,-80.279907,25.709355
Manatee,-80.279277,25.711185
Manatee,-80.272967,25.723935
Manatee,-80.272347,25.725095
Manatee,-80.272047,25.727945
Manatee,-80.269687,25.728185
Manatee,-80.267257,25.729345
Manatee,-80.264387,25.730245
Manatee,-80.246027,25.710355
Manatee,-80.268994,25.684481
Manatee,-80.26443,25.685931
Manatee,-80.244957,25.711625
Manatee,-80.244207,25.714775
Manatee,-80.251007,25.794545
Manatee,-80.289597,25.780955
Manatee,-80.257207,25.801295
Manatee,-80.255187,25.800215
Manatee,-80.222127,25.785165
Manatee,-80.192487,25.770325
Manatee,-80.131647,25.759465
Manatee,-80.181797,25.772475
Manatee,-80.181787,25.774205
Manatee,-80.180207,25.775315
Manatee,-80.166567,25.813195
Manatee,-80.170167,25.811895
Manatee,-80.169857,25.824715
Manatee,-80.156017,25.841075
Manatee,-80.158267,25.842205
Manatee,-80.160627,25.842215
Manatee,-80.173197,25.838065
Manatee,-80.180607,25.847215
Manatee,-80.182497,25.846875
Manatee,-80.184807,25.846375
Manatee,-80.188317,25.850745
Manatee,-80.177797,25.871665
Manatee,-80.160387,25.880575
Manatee,-80.154947,25.893065
Manatee,-80.162027,25.899175
Manatee,-80.136007,25.910005
Manatee,-80.126417,25.952485
Manatee,-80.174057,25.948745
Manatee,-80.179627,25.948315
Manatee,-80.225977,25.960865
Manatee,-80.229417,25.961035
Manatee,-80.123437,25.966495
Manatee,-80.122577,25.978805
Manatee,-80.121937,25.983065
Manatee,-80.123037,25.971955
Manatee,-80.117187,26.032815
Manatee,-80.108087,26.150315
Manatee,-80.115797,26.048415
Manatee,-80.114747,26.061975
Manatee,-80.114117,26.083215
Manatee,-80.121307,26.105825
Manatee,-80.078878,26.274035
Manatee,-80.068017,26.403905
Manatee,-80.061897,26.472295
Manatee,-80.062948,26.467065
