OBJECTID,NAME,COUNTY,OSP,TWNCODE,LAND,SHAPE_Length,SHAPE_Area
1,CUMBERLAND,PROVIDENCE,8,CU,Y,0.416142517529262,0.00795908766886882
2,WOONSOCKET,PROVIDENCE,39,WO,Y,0.204697695446875,0.00221987938072183
3,NORTH SMITHFIELD,PROVIDENCE,25,NS,Y,0.403103351039798,0.00699994382317386
4,BURRILLVILLE,PROVIDENCE,3,BU,Y,0.560429689061673,0.0160243985653522
5,LINCOLN,PROVIDENCE,17,LI,Y,0.371477550360488,0.00531921994033649
6,SMITHFIELD,PROVIDENCE,31,SM,Y,0.359970197719924,0.00775854989015773
7,GLOCESTER,PROVIDENCE,13,GL,Y,0.579077219047329,0.0159691690568192
8,CENTRAL FALLS,PROVIDENCE,4,CF,Y,0.0781552987937009,0.000363362004376401
9,PAWTUCKET,PROVIDENCE,26,PA,Y,0.282145125627669,0.00248757745837065
10,NORTH PROVIDENCE,PROVIDENCE,24,NP,Y,0.206812007806022,0.00162638082787776
11,JOHNSTON,PROVIDENCE,16,JO,Y,0.363411252690542,0.006828259643498
12,PROVIDENCE,PROVIDENCE,28,PR,Y,0.448436121469773,0.00526284030825935
13,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.520775659276271,0.00385221082904541
14,SCITUATE,PROVIDENCE,30,SC,Y,0.500095009455555,0.0153739078038968
15,FOSTER,PROVIDENCE,12,FO,Y,0.486123039823319,0.0145791990675506
16,PROVIDENCE,PROVIDENCE,28,PR,Y,0.00644647979505498,1.54342275653261e-06
17,PROVIDENCE,PROVIDENCE,28,PR,Y,0.00589815633681733,6.57450445290936e-07
18,PROVIDENCE,PROVIDENCE,28,PR,Y,0.00139310036687655,9.16058354516922e-08
19,CRANSTON,PROVIDENCE,7,CR,Y,0.558275099741784,0.00811253499841071
20,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.000196286180748697,8.73265992250629e-10
21,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.000715672469337461,1.86057907354551e-08
22,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.000349729614283012,2.40163542266547e-09
23,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.014501522239945,3.9262052733458e-06
24,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.0132559532171781,6.28146320875987e-06
25,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.00225676074911042,2.6128316125971e-07
26,EAST PROVIDENCE,PROVIDENCE,10,EP,Y,0.00367545359569733,4.64227302578438e-07
